122,176,179,4,"LINESTRING(139.6995227 35.65940651, 139.6994468 35.65965061)"
123,178,179,4,"LINESTRING(139.6992237 35.65956692, 139.6994468 35.65965061)"
124,176,178,4,"LINESTRING(139.6995227 35.65940651, 139.6992237 35.65956692)"
125,177,179,4,"LINESTRING(139.6992398 35.65935071, 139.6994468 35.65965061)"
126,10,179,4,"LINESTRING(139.6996998 35.65966224, 139.6994468 35.65965061)"
127,176,185,4,"LINESTRING(139.6995227 35.65940651, 139.6997849 35.65950648)"
128,11,179,4,"LINESTRING(139.6990903 35.65979243, 139.6994468 35.65965061)"
129,11,12,4,"LINESTRING(139.6990903 35.65979243, 139.6986095 35.65997609)"
130,12,13,4,"LINESTRING(139.6986095 35.65997609, 139.6983611 35.66007373)"
132,5,12,4,"LINESTRING(139.6987936 35.66031783, 139.6986095 35.65997609)"
133,2,11,4,"LINESTRING(139.6992789 35.66015742, 139.6990903 35.65979243)"
134,198,210,4,"LINESTRING(139.6976573 35.66018532, 139.6977217 35.65933909)"
135,210,211,4,"LINESTRING(139.6977217 35.65933909, 139.6975354 35.65960412)"
136,211,214,4,"LINESTRING(139.6975354 35.65960412, 139.6971627 35.65925772)"
137,210,214,4,"LINESTRING(139.6977217 35.65933909, 139.6971627 35.65925772)"
138,199,210,4,"LINESTRING(139.6977171 35.65912056, 139.6977217 35.65933909)"
139,199,213,4,"LINESTRING(139.6977171 35.65912056, 139.6972317 35.65880206)"
140,212,213,4,"LINESTRING(139.6969902 35.65909034, 139.6972317 35.65880206)"
141,212,214,4,"LINESTRING(139.6969902 35.65909034, 139.6971627 35.65925772)"
142,8,9,4,"LINESTRING(139.6977723 35.66075722, 139.6968522 35.66117569)"
143,9,16,4,"LINESTRING(139.6968522 35.66117569, 139.6970799 35.6613361)"
144,16,17,4,"LINESTRING(139.6970799 35.6613361, 139.6979586 35.6610362)"
145,16,53,4,"LINESTRING(139.6970799 35.6613361, 139.6973007 35.66149651)"
146,20,53,4,"LINESTRING(139.6977033 35.66171272, 139.6973007 35.66149651)"
147,52,53,4,"LINESTRING(139.6970845 35.6617011, 139.6973007 35.66149651)"
148,16,51,4,"LINESTRING(139.6970799 35.6613361, 139.6966498 35.66149186)"
149,51,52,4,"LINESTRING(139.6966498 35.66149186, 139.6970845 35.6617011)"
150,84,85,4,"LINESTRING(139.6967671 35.66210794, 139.696222 35.66178479)"
151,83,84,4,"LINESTRING(139.6966291 35.6622823, 139.6967671 35.66210794)"
152,82,83,4,"LINESTRING(139.6968223 35.66241714, 139.6966291 35.6622823)"
153,76,78,4,"LINESTRING(139.6969787 35.66240551, 139.6973237 35.66226137)"
154,78,80,4,"LINESTRING(139.6973237 35.66226137, 139.6972225 35.66218698)"
155,80,81,4,"LINESTRING(139.6972225 35.66218698, 139.6973629 35.66211026)"
156,79,81,4,"LINESTRING(139.6974411 35.66217536, 139.6973629 35.66211026)"
157,78,79,4,"LINESTRING(139.6973237 35.66226137, 139.6974411 35.66217536)"
158,21,79,4,"LINESTRING(139.6977838 35.66174527, 139.6974411 35.66217536)"
159,20,81,4,"LINESTRING(139.6977033 35.66171272, 139.6973629 35.66211026)"
160,41,79,4,"LINESTRING(139.6980943 35.66226137, 139.6974411 35.66217536)"
161,41,86,4,"LINESTRING(139.6980943 35.66226137, 139.6984853 35.66228927)"
162,86,87,4,"LINESTRING(139.6984853 35.66228927, 139.6986026 35.66228927)"
163,87,89,4,"LINESTRING(139.6986026 35.66228927, 139.6986118 35.66243341)"
164,88,89,4,"LINESTRING(139.6984531 35.66242411, 139.6986118 35.66243341)"
165,86,88,4,"LINESTRING(139.6984853 35.66228927, 139.6984531 35.66242411)"
166,42,87,4,"LINESTRING(139.6992122 35.66228927, 139.6986026 35.66228927)"
167,89,95,4,"LINESTRING(139.6986118 35.66243341, 139.699157 35.66245898)"
168,88,91,4,"LINESTRING(139.6984531 35.66242411, 139.6983588 35.66319362)"
169,91,94,4,"LINESTRING(139.6983588 35.66319362, 139.6991432 35.66337263)"
170,93,94,4,"LINESTRING(139.6991225 35.66345633, 139.6991432 35.66337263)"
171,93,99,4,"LINESTRING(139.6991225 35.66345633, 139.6992881 35.6635284)"
172,98,99,4,"LINESTRING(139.6993111 35.66341448, 139.6992881 35.6635284)"
173,94,98,4,"LINESTRING(139.6991432 35.66337263, 139.6993111 35.66341448)"
174,94,95,4,"LINESTRING(139.6991432 35.66337263, 139.699157 35.66245898)"
175,96,97,4,"LINESTRING(139.6993433 35.66246828, 139.6993226 35.66296347)"
176,97,98,4,"LINESTRING(139.6993226 35.66296347, 139.6993111 35.66341448)"
177,98,100,4,"LINESTRING(139.6993111 35.66341448, 139.6997941 35.66341681)"
178,100,101,4,"LINESTRING(139.6997941 35.66341681, 139.6997274 35.66292395)"
179,97,101,4,"LINESTRING(139.6993226 35.66296347, 139.6997274 35.66292395)"
180,101,103,4,"LINESTRING(139.6997274 35.66292395, 139.6997274 35.66263102)"
181,101,104,4,"LINESTRING(139.6997274 35.66292395, 139.7001921 35.6629193)"
182,102,104,4,"LINESTRING(139.700314 35.66257522, 139.7001921 35.6629193)"
183,102,103,4,"LINESTRING(139.700314 35.66257522, 139.6997274 35.66263102)"
184,102,112,4,"LINESTRING(139.700314 35.66257522, 139.7003416 35.66233809)"
185,96,112,4,"LINESTRING(139.6993433 35.66246828, 139.7003416 35.66233809)"
186,100,105,4,"LINESTRING(139.6997941 35.66341681, 139.7002381 35.66338426)"
187,104,105,4,"LINESTRING(139.7001921 35.6629193, 139.7002381 35.66338426)"
188,106,168,4,"LINESTRING(139.6998401 35.66392594, 139.7002956 35.66388177)"
189,105,168,4,"LINESTRING(139.7002381 35.66338426, 139.7002956 35.66388177)"
190,100,106,4,"LINESTRING(139.6997941 35.66341681, 139.6998401 35.66392594)"
191,106,107,4,"LINESTRING(139.6998401 35.66392594, 139.6998562 35.66415609)"
192,107,108,4,"LINESTRING(139.6998562 35.66415609, 139.7012156 35.66411425)"
193,108,109,4,"LINESTRING(139.7012156 35.66411425, 139.7011581 35.66354002)"
194,109,110,4,"LINESTRING(139.7011581 35.66354002, 139.701027 35.66332149)"
195,110,113,4,"LINESTRING(139.701027 35.66332149, 139.7011788 35.66319827)"
196,113,114,4,"LINESTRING(139.7011788 35.66319827, 139.7009028 35.66230787)"
197,110,111,4,"LINESTRING(139.701027 35.66332149, 139.7006751 35.66236134)"
198,108,116,4,"LINESTRING(139.7012156 35.66411425, 139.7012616 35.66450714)"
199,116,167,4,"LINESTRING(139.7012616 35.66450714, 139.7012823 35.66464663)"
200,166,167,4,"LINESTRING(139.7008269 35.66469313, 139.7012823 35.66464663)"
201,116,117,4,"LINESTRING(139.7012616 35.66450714, 139.6999482 35.66462338)"
202,107,117,4,"LINESTRING(139.6998562 35.66415609, 139.6999482 35.66462338)"
203,118,119,4,"LINESTRING(139.6989753 35.66455596, 139.6988948 35.6646722)"
204,119,120,4,"LINESTRING(139.6988948 35.6646722, 139.6987223 35.66461176)"
205,120,121,4,"LINESTRING(139.6987223 35.66461176, 139.6984807 35.66478147)"
206,121,122,4,"LINESTRING(139.6984807 35.66478147, 139.6988051 35.66487679)"
207,119,122,4,"LINESTRING(139.6988948 35.6646722, 139.6988051 35.66487679)"
208,121,126,4,"LINESTRING(139.6984807 35.66478147, 139.6968936 35.66453039)"
209,123,126,4,"LINESTRING(139.6969488 35.66434208, 139.6968936 35.66453039)"
210,123,124,4,"LINESTRING(139.6969488 35.66434208, 139.6968154 35.66429791)"
211,124,125,4,"LINESTRING(139.6968154 35.66429791, 139.6967096 35.66447924)"
212,125,126,4,"LINESTRING(139.6967096 35.66447924, 139.6968936 35.66453039)"
213,120,123,4,"LINESTRING(139.6987223 35.66461176, 139.6969488 35.66434208)"
214,92,120,4,"LINESTRING(139.6989684 35.6640352, 139.6987223 35.66461176)"
215,92,93,4,"LINESTRING(139.6989684 35.6640352, 139.6991225 35.66345633)"
216,90,91,4,"LINESTRING(139.6981932 35.66378645, 139.6983588 35.66319362)"
217,90,92,4,"LINESTRING(139.6981932 35.66378645, 139.6989684 35.6640352)"
218,127,128,4,"LINESTRING(139.6973997 35.66270541, 139.6972915 35.66276353)"
219,75,77,4,"LINESTRING(139.696843 35.66252175, 139.6970569 35.66271936)"
220,76,128,4,"LINESTRING(139.6969787 35.66240551, 139.6972915 35.66276353)"
221,128,129,4,"LINESTRING(139.6972915 35.66276353, 139.6971259 35.66339821)"
222,129,130,4,"LINESTRING(139.6971259 35.66339821, 139.6968775 35.66338193)"
223,123,127,4,"LINESTRING(139.6969488 35.66434208, 139.6973997 35.66270541)"
224,71,75,4,"LINESTRING(139.6960035 35.6632192, 139.696843 35.66252175)"
225,71,72,4,"LINESTRING(139.6960035 35.6632192, 139.6962611 35.66338426)"
226,72,73,4,"LINESTRING(139.6962611 35.66338426, 139.6960932 35.66352607)"
227,73,74,4,"LINESTRING(139.6960932 35.66352607, 139.6961622 35.66357257)"
228,69,124,4,"LINESTRING(139.6957803 35.66368183, 139.6968154 35.66429791)"
229,68,69,4,"LINESTRING(139.6955756 35.66386084, 139.6957803 35.66368183)"
230,69,70,4,"LINESTRING(139.6957803 35.66368183, 139.6956492 35.66353305)"
231,70,71,4,"LINESTRING(139.6956492 35.66353305, 139.6960035 35.6632192)"
232,66,70,4,"LINESTRING(139.6954606 35.6635284, 139.6956492 35.66353305)"
233,66,67,4,"LINESTRING(139.6954606 35.6635284, 139.6953134 35.66376088)"
234,67,68,4,"LINESTRING(139.6953134 35.66376088, 139.6955756 35.66386084)"
235,161,162,4,"LINESTRING(139.6951363 35.66400498, 139.6949316 35.66388642)"
236,67,161,4,"LINESTRING(139.6953134 35.66376088, 139.6951363 35.66400498)"
237,161,163,4,"LINESTRING(139.6951363 35.66400498, 139.6948442 35.66442577)"
238,163,164,4,"LINESTRING(139.6948442 35.66442577, 139.6943795 35.66466058)"
239,68,131,4,"LINESTRING(139.6955756 35.66386084, 139.6947154 35.66492096)"
240,133,134,4,"LINESTRING(139.6944646 35.66336333, 139.6942852 35.66323779)"
241,132,133,4,"LINESTRING(139.6946624 35.6634726, 139.6944646 35.66336333)"
242,65,132,4,"LINESTRING(139.6950351 35.66315643, 139.6946624 35.6634726)"
243,64,133,4,"LINESTRING(139.6948511 35.66301926, 139.6944646 35.66336333)"
244,64,65,4,"LINESTRING(139.6948511 35.66301926, 139.6950351 35.66315643)"
245,63,64,4,"LINESTRING(139.694674 35.66289837, 139.6948511 35.66301926)"
246,57,63,4,"LINESTRING(139.6947315 35.66285885, 139.694674 35.66289837)"
247,62,63,4,"LINESTRING(139.6946072 35.66283793, 139.694674 35.66289837)"
248,61,62,4,"LINESTRING(139.694674 35.66277981, 139.6946072 35.66283793)"
249,57,61,4,"LINESTRING(139.6947315 35.66285885, 139.694674 35.66277981)"
250,60,61,4,"LINESTRING(139.6950834 35.66248223, 139.694674 35.66277981)"
251,60,137,4,"LINESTRING(139.6950834 35.66248223, 139.6948902 35.66236134)"
252,136,137,4,"LINESTRING(139.6944876 35.66268449, 139.6948902 35.66236134)"
253,62,136,4,"LINESTRING(139.6946072 35.66283793, 139.6944876 35.66268449)"
254,9,15,4,"LINESTRING(139.6968522 35.66117569, 139.6965555 35.66096181)"
255,15,54,4,"LINESTRING(139.6965555 35.66096181, 139.6962795 35.66126636)"
256,51,54,4,"LINESTRING(139.6966498 35.66149186, 139.6962795 35.66126636)"
257,51,85,4,"LINESTRING(139.6966498 35.66149186, 139.696222 35.66178479)"
258,134,135,4,"LINESTRING(139.6942852 35.66323779, 139.6940575 35.66305646)"
259,63,134,4,"LINESTRING(139.694674 35.66289837, 139.6942852 35.66323779)"
